Citation,Year,PR_ID,ES_ID,CHT_ID,Ecosystem,Region,Country,Continent,Latitude_N_S,Longitude_E_W,Duration_months._FS,Invader,Growth_form,Plot_size_m2,Status_parameter1,GF_Parameter,Revegetation.method,Method_GF_Fun,Method_GF_Gen,revegetation_type,Reference,Invader_removal_strategy,Category,Parameter,Parameter_Category,Source,nT,mT,sdT,nC,mC,sdC
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,71,CHT32,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Sollidago biomass,Biomass,Supporting Appendix S8,4,143.88,65.14,4,194.82,70.26
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,72,CHT27,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Sollidago cover,Cover,Supporting Appendix S8,4,2.6,2.51,4,39.05,11.48
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,73,CHT28,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Sollidago cover,Cover,Supporting Appendix S8,4,24.09,13.57,4,39.05,11.48
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,74,CHT29,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Rototilling,Mechanical,Sollidago cover,Cover,Supporting Appendix S8,4,25.37,15.75,4,25.3,2.85
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,75,CHT30,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Rototilling,Mechanical,Sollidago cover,Cover,Supporting Appendix S8,4,24.45,12.24,4,25.3,2.85
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,76,CHT31,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Sollidago cover,Cover,Supporting Appendix S8,4,18.03,6.71,4,30.51,13.07
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,77,CHT32,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Non-native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Sollidago cover,Cover,Supporting Appendix S8,4,27.19,8.04,4,30.51,13.07
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,78,CHT27,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Graminoid biomass,Biomass,Supporting Appendix S8,4,160.69,89.81,4,127.76,59.88
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,79,CHT28,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Graminoid biomass,Biomass,Supporting Appendix S8,4,181.21,26.55,4,127.76,59.88
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,80,CHT29,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Rototilling,Mechanical,Graminoid biomass,Biomass,Supporting Appendix S8,4,131.72,50.85,4,131.72,48.57
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,81,CHT30,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Rototilling,Mechanical,Graminoid biomass,Biomass,Supporting Appendix S8,4,174.83,25.41,4,131.72,48.57
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,82,CHT31,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Graminoid biomass,Biomass,Supporting Appendix S8,4,162.24,91.5,4,106.03,11.3
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,83,CHT32,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Graminoid biomass,Biomass,Supporting Appendix S8,4,172.93,102.8,4,106.03,11.3
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,84,CHT27,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Forb biomass,Biomass,Supporting Appendix S8,4,34.82,14.97,4,31.33,15.79
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,85,CHT28,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Forb biomass,Biomass,Supporting Appendix S8,4,20.61,20,4,31.33,15.79
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,86,CHT29,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Rototilling,Mechanical,Forb biomass,Biomass,Supporting Appendix S8,4,15.13,14.44,4,31.64,51.75
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,87,CHT30,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Rototilling,Mechanical,Forb biomass,Biomass,Supporting Appendix S8,4,27.89,7.06,4,31.64,51.75
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,88,CHT31,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Haying,Multiple,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Forb biomass,Biomass,Supporting Appendix S8,4,47.33,20.66,4,43.33,31.25
"Szymura et al 2022. Land Degradation & Development, 33 :1985–1998",2022,PR14,89,CHT32,Grassland,"Wrocław, Central Europe ",Poland,Europe,51.16152778,17.11152778,72,"Solidago gigantea, Solidago canadensis",Herb,6.25,Native,Herb,Seeding,Single,Herbaceous,Mixture,Passive,Turf stripping,Mechanical,Forb biomass,Biomass,Supporting Appendix S8,4,21.85,13.27,4,43.33,31.25
"Stanley et al 2011. Northwest Science, 85: 233-246",2011,PR15,90,CHT33,Grassland,Pacific Northwest Prairies,United States,North America,45.3753226,-125.9391403,24,Many,Grass,6.25,Native,Grass and Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,"Herbicide, mowing and Burning",Integrated,Native richness,Richness,Figure 5a,120,10.27,2.409979253,40,7.42,2.782804341
"Stanley et al 2011. Northwest Science, 85: 233-246",2011,PR15,91,CHT34,Grassland,Pacific Northwest Prairies,United States,North America,45.3753226,-125.9391403,24,Many,Grass,6.25,Native,Grass and Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,"Herbicide, mowing and Burning",Integrated,Native richness,Richness,Figure 5b,78,11.1,3.97429239,24,7.72,3.52726523
"Nelson and Wydoski 2013. Journal of Insects, 2013: 561617",2013,PR16,92,CHT35,Riparian,"Arkansas, Colorado; Canadian River,Texas; Las Vegas Wash, Nevada; and Pecos and Rio Grande Rivers, New Mexico",United States,North America,35.9606563,-161.6554511,NA,Tamarix ramosissima,Shrub,NA,Native,Forb and Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning and plowing,Mechanical,Forb and graminoid richness,Richness,Table 2,4,7,1.75,9,6,2
"Nelson and Wydoski 2013. Journal of Insects, 2013: 561617",2013,PR16,93,CHT36,Riparian,"Arkansas, Colorado; Canadian River,Texas; Las Vegas Wash, Nevada; and Pecos and Rio Grande Rivers, New Mexico",United States,North America,35.9606563,-161.6554511,NA,Tamarix ramosissima,Shrub,NA,Native,Forb and Grass,Seeding,Multiple,Herbaceous,Mixture,Passive,Burning and plowing,Mechanical,Forb and graminoid richness,Richness,Table 2,3,2,0.75,9,6,2
"Marrs et al 1998. Journal of Applied Ecology, 35: 857-870",1998,PR17,94,CHT37,Shrubland,"Breckland, UK",United Kingdom,Europe,52.5898431,0.4897658,96,Many,Fern,70,Native,Shrub,Seeding,Single,Woody,Single,Passive,Cutting and Herbicide,Integrated,Calluna cover ,Cover,Text,24,12,10.77775487,24,4,10.77775487
"Kaul et al 2023. Ecological Solution and Evidence, 4: e12202",2023,PR18,95,CHT38,Forest,"Whitmire Woodland (WW) management unit, Missouri Botanical Garden",United States,North America,38.472445,−90.828385,24,Many,Shrub and vine,120,Native,Multiple,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Mulching, herbicide, cutting, burning",Integrated,Native species richness,Richness,Figure 1a,25,26.04,12.15,25,16.84,10.4
"Kaul et al 2023. Ecological Solution and Evidence, 4: e12202",2023,PR18,96,CHT38,Forest,"Whitmire Woodland (WW) management unit, Missouri Botanical Garden",United States,North America,38.472445,−90.828385,24,Many,Shrub and vine,120,Native,Multiple,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Mulching, herbicide, cutting, burning",Integrated,Native species diversity (1/Simpson's D),Diversity,Figure 1c,25,9.73,5.35,25,11.49,8.6
"Kaul et al 2023. Ecological Solution and Evidence, 4: e12202",2023,PR18,97,CHT38,Forest,"Whitmire Woodland (WW) management unit, Missouri Botanical Garden",United States,North America,38.472445,−90.828385,24,Many,Shrub and vine,120,Native,Multiple,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,"Mulching, herbicide, cutting, burning",Integrated,Native species cover,Cover,Figure 1f,25,10.01,4.6,25,85.58,66.3
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,98,CHT39,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,5.23,1.021909976,3,4.27,1.697409791
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,99,CHT40,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,5.47,2.476832655,3,4.27,1.697409791
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,100,CHT41,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,0.99,0.588897275,3,2.25,2.528794179
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,101,CHT42,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,8.93,7.257292884,3,2.25,2.528794179
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,102,CHT43,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,1.58,0.502294734,3,1.92,0.36373067
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,103,CHT44,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,2.25,3.810511777,3,1.92,0.36373067
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,104,CHT45,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,0.7,0.519615242,3,5.82,7.101408311
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,105,CHT46,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,1.36,1.749371316,3,5.82,7.101408311
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,106,CHT47,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,6.03,6.114139351,3,3.13,1.939896904
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,107,CHT48,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,0.45,0.762102355,3,0.58,0.935307436
Mangold et al 2015. Ecological Restoration 33: 1,2015,PR19,108,CHT49,Grassland,"Missoula, Montana ",United States,North America,46.95111111,-114.1186111,48,Centaurea stoebe and Bromus tectorum,Forb and Grass,NA,Non-native,Forb,Seeding,Single,Herbaceous,Single,Passive,Herbicide,Chemical,Invasive spotted knapweed cover,Cover,Figure 2,3,2.14,2.7886018,3,0.58,0.935307436
"Trowbridge et al 2017. Restoration Ecology, 25: 559-568",2017,PR20,109,CHT50,Grassland,Douthern British Columbia to Oregon’s Willamette Valley,Canada,North America,46.89,-123.05,84,Cytisus scoparius,Shrub,12.5,Native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,"Burning, mowing and herbicide ",Integrated,Native species richness,Richness,Figure 2a,120,8.63,2.21,120,6.62,2
"Trowbridge et al 2017. Restoration Ecology, 25: 559-568",2017,PR20,110,CHT51,Grassland,Douthern British Columbia to Oregon’s Willamette Valley,Canada,North America,46.89,-123.05,84,Cytisus scoparius,Shrub,12.5,Native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide ,Integrated,Native species cover,Cover,Figure 2b,24,38.86,20.63,24,41.17,18.86
"Trowbridge et al 2017. Restoration Ecology, 25: 559-568",2017,PR20,111,CHT52,Grassland,Douthern British Columbia to Oregon’s Willamette Valley,Canada,North America,46.89,-123.05,84,Cytisus scoparius,Shrub,12.5,Native,Overall,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide ,Integrated,Native species cover,Cover,Figure 2b,24,36.95,17.72,24,31.05,18.58
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,112,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Native perennial bunchgrass cover,Cover,Figure 2a,300,4.58,1.385640646,300,2.41,9.353074361
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,113,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Exotic annual grass cover,Cover,Figure 2b,300,6.09,42.95486003,300,7.81,40.87639906
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,114,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Native annual forb cover,Cover,Figure 2c,300,6.33,22.34345542,300,7.99,38.62473301
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,115,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Native,Shrub,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Sagebrush cover,Cover,Figure 2d,20,7.15,4.248529157,20,6.81,1.923018461
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,116,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Native perennial bunchgrass density,Density,Figure 4a,300,4.69,13.85640646,300,2.2,8.487048957
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,117,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Exotic annual grass density,Density,Figure 4b,300,197.85,819.4332371,300,290.32,1080.280089
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,118,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Native annual forb density,Density,Figure 4c,300,439.56,571.0571513,300,567.03,951.7619188
"Davies et al 2021. Rangeland Ecology & Management, 75: 81–90",2021,PR21,119,CHT53,Shrubland,Southeastern Oregon,United States,North America,43.9660295,-123.2231589,132,Bromus tectorum,Grass,1500,Native,Shrub,Seeding,Single,Herbaceous,Mixture,Passive,Mowing,Mechanical,Sagebrush density,Density,Figure 4d,20,0.57,0.536656315,20,0.44,0.581377674
"Stonecipher et al 2019. Rangeland Ecology & Management, 72: 266–274",2019,PR22,120,CHT54,Shrubland,"Howell, northwestern Utah",United States,North America,41.71666667,-112.4166667,165,Bromus tectorum and Gutierrezia sarothrae,Grass,45,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Downy brome biomass,Biomass,Table 4,4,758,324,4,674,326
"Stonecipher et al 2019. Rangeland Ecology & Management, 72: 266–274",2019,PR22,121,CHT55,Grassland,"Nephi, central Utah",United States,North America,39.7,111.9166667,153,Bromus tectorum and Gutierrezia sarothrae,Grass,45,Non-native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Downy brome biomass,Biomass,Table 4,4,57,70,4,193,72
"Stonecipher et al 2019. Rangeland Ecology & Management, 72: 266–274",2019,PR22,122,CHT54,Shrubland,"Howell, northwestern Utah",United States,North America,41.71666667,-112.4166667,165,Bromus tectorum and Gutierrezia sarothrae,Grass,45,Native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Annual forbs biomass,Biomass,Table 4,4,48,40,4,16,40
"Stonecipher et al 2019. Rangeland Ecology & Management, 72: 266–274",2019,PR22,123,CHT55,Grassland,"Nephi, central Utah",United States,North America,39.7,111.9166667,153,Bromus tectorum and Gutierrezia sarothrae,Grass,45,Native,Forb,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Annual forbs biomass,Biomass,Table 4,4,94,36,4,105,36
"Cione et al 2002. Restoration Ecology, 10: 376–384",2002,PR23,124,CHT56,Shrubland,"Mount Rubidoux, California",United States,North America,33.9839029,-117.4034008,12,Many grasses,Grass,25,Non-native,Grass,Seeding,Single,Woody,Mixture,Passive,Herbicide,Chemical,Annual grass cover,Cover,Figure 1,10,3.43,14.45160891,10,4.91,9.423587427
"Cione et al 2002. Restoration Ecology, 10: 376–384",2002,PR23,125,CHT56,Shrubland,"Mount Rubidoux, California",United States,North America,33.9839029,-117.4034008,12,Many grasses,Grass,25,Non-native,Grass,Seeding,Single,Woody,Mixture,Passive,Cutting,Mechanical,Annual grass cover,Cover,Figure 1,10,13.49,23.46410024,10,15.31,9.77143797
"Cione et al 2002. Restoration Ecology, 10: 376–384",2002,PR23,126,CHT56,Shrubland,"Mount Rubidoux, California",United States,North America,33.9839029,-117.4034008,12,Many grasses,Grass,25,Non-native,Grass,Seeding,Single,Woody,Mixture,Passive,Herbicide,Chemical,Annual grass density,Density,Figure 1,10,22.91,39.37035687,10,16.93,47.21280547
"Cione et al 2002. Restoration Ecology, 10: 376–384",2002,PR23,127,CHT56,Shrubland,"Mount Rubidoux, California",United States,North America,33.9839029,-117.4034008,12,Many grasses,Grass,25,Non-native,Grass,Seeding,Single,Woody,Mixture,Passive,Cutting,Mechanical,Annual grass density,Density,Figure 1,10,184.26,214.2126887,10,163.84,66.0916031
"Ammondt et al 2013. Applied Vegetation Science, 16: 29-39",2013,PR24,128,CHT57,Grassland,"Hawaiian dry lowland ecosystem, leeward Oahu, Hawaii",United States,North America,21.48138889,-158.2002778,7.5,Megathyrsus maximus,Grass,9,Non-native,Grass,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Mowing and Herbicide,Integrated,M. maximus cover,Cover,Figure 2,4,26.96,27.66,4,69.92,49.58
"Ammondt et al 2013. Applied Vegetation Science, 16: 29-39",2013,PR24,129,CHT58,Grassland,"Hawaiian dry lowland ecosystem, leeward Oahu, Hawaii",United States,North America,21.48138889,-158.2002778,7.5,Megathyrsus maximus,Grass,9,Non-native,Grass,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Mowing and Herbicide,Integrated,M. maximus cover,Cover,Figure 2,4,6.77,6.52,4,69.92,49.58
"Ammondt et al 2013. Applied Vegetation Science, 16: 29-39",2013,PR24,130,CHT59,Grassland,"Hawaiian dry lowland ecosystem, leeward Oahu, Hawaii",United States,North America,21.48138889,-158.2002778,7.5,Megathyrsus maximus,Grass,9,Non-native,Grass,Planting,Multiple,Herbaceous and Woody,Mixture,Passive,Mowing and Herbicide,Integrated,M. maximus cover,Cover,Figure 2,4,11.92,22.22,4,69.92,49.58
"Ammondt et al 2013. Applied Vegetation Science, 16: 29-39",2013,PR24,131,CHT60,Grassland,"Hawaiian dry lowland ecosystem, leeward Oahu, Hawaii",United States,North America,21.48138889,-158.2002778,7.5,Megathyrsus maximus,Grass,9,Non-native,Grass,Seeding,Multiple,Woody,Mixture,Passive,Mowing and Herbicide,Integrated,M. maximus cover,Cover,Figure 2,4,51.63,12.48,4,69.92,49.58
"Sheley 2007. Weed Science, 55: 365–370",2007,PR25,132,CHT61,Grassland,"Burns, southeast Oregon",United States,North America,43.6,-118.9,20,Acroptilon repens,Herb,50,Native,Grass,Seeding,Single,Herbaceous,Mixture,Passive,Herbicide,Chemical,Pubescent wheatgrass biomass,Biomass,Figure 4,24,6.34,68.43874341,24,18.83,29.73680548
"Tyser et al 1998. Restoration Ecology, 6: 197–206",1998,PR26,133,CHT62,Grassland,"Glacier National Park, St. Mary valley",United States,North America,48.6596785,-114.1754926,33,Centaurea maculosa,Herb,32,Non-native,Graminoid,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Alien graminoids cover,Cover,Figure 2a,6,29.1,26.06257086,6,35.69,16.92597412
"Tyser et al 1998. Restoration Ecology, 6: 197–206",1998,PR26,134,CHT62,Grassland,"Glacier National Park, St. Mary valley",United States,North America,48.6596785,-114.1754926,33,Centaurea maculosa,Herb,32,Native,Graminoid,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native graminoids cover,Cover,Figure 2b,6,12.02,4.972464178,6,2.62,2.327015256
"Tyser et al 1998. Restoration Ecology, 6: 197–206",1998,PR26,135,CHT62,Grassland,"Glacier National Park, St. Mary valley",United States,North America,48.6596785,-114.1754926,33,Centaurea maculosa,Herb,32,Non-native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Alien forbs cover,Cover,Figure 2c,6,2.9,2.424994845,6,4.8,4.433576434
"Tyser et al 1998. Restoration Ecology, 6: 197–206",1998,PR26,136,CHT62,Grassland,"Glacier National Park, St. Mary valley",United States,North America,48.6596785,-114.1754926,33,Centaurea maculosa,Herb,32,Native,Forb,Seeding,Multiple,Herbaceous,Mixture,Passive,Herbicide,Chemical,Native forbs cover,Cover,Figure 2d,6,3.35,3.772214204,6,4.8,3.551760127
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,137,CHT63,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,6.75,13.32306271,15,9.57,4.531390515
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,138,CHT64,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,1.03,3.989172847,15,4.61,7.745966692
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,139,CHT65,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,2,3.446955178,15,19.55,8.520563362
"Urza et al 2019. Biological Invasions, 21: 1993–2007",2019,PR27,140,CHT66,Forest,"Canyon, Humboldt-Toiyabe National, Shoshone Mountains of central Nevada",United States,North America,38.6504286,-117.5051923,192,Bromus tectorum,Grass,100,Non-native,Grass,Seeding,Multiple,Herbaceous and Woody,Mixture,Passive,Burning,Mechanical,Bromus tectorum cover,Cover,Figure 2b,15,0.27,0.027110883,15,0.55,1.587923172
